,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Avocados, California, raw",0.106,0.0,0.087,1.66,0.232,0.076,0.0007,0.0,0.0,0.013000000000000001,0.0,0.005,8.64,2.4e-05,6.3e-05,0.0,0.014199999999999999,0.111,0.015,0.0,0.0,0.0,0.0,0.00017,2.7e-05,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.025,15.41,0.0,0.0,0.0,6.8,0.0,8.9e-05,0.0,0.08,0.08,0.08,0.282,0.102,0.0,0.01,2.075,0.698,0.0,0.048,0.0,0.0,0.00061,0.083,0.0,0.141,0.000271,0.0,0.129,0.029,0.0,0.000149,0.0,0.037,9.799,0.0019119999999999999,0.0,1.674,0.049,0.0,0.125,9.066,0.001,0.001463,0.0,0.0,0.095,0.054,0.0,1.816,0.507,0.096,1.96,0.00014299999999999998,2.126,4e-07,0.112,100.0,0.008,0.11,0.002,0.06,0.3,0.0,0.0,0.0,0.0,0.0,7.5e-05,0.072,0.00197,4e-05,2e-05,0.00032,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.048,0.0,0.105,147.0,7e-06,0.0,0.000287,0.0088,0.0,0.0,0.0,0.00197,2.1e-05,72.33,0.00068
"Avocados, Florida, raw",0.121,0.0,0.099,1.08,0.264,0.0,0.0,0.0,0.0,0.01,0.0,0.0,7.82,2.7e-05,5.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000311,3.6e-05,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.06,0.0,0.0,0.0,5.6,0.0,3.5e-05,0.0,0.25,0.0,2.17,0.321,0.116,0.0,0.0,1.905,0.825,0.0,0.055,0.0,0.0,0.00017,0.094,0.0,0.16,0.0,0.0,0.147,0.024,0.0,9.5e-05,0.0,0.042,5.513,0.0006720000000000001,0.0,1.58,0.055,0.0,0.096,4.689,0.0,0.0009310000000000001,0.0,0.0,0.108,0.04,0.0,1.676,0.35100000000000003,0.11,2.23,5.3e-05,1.96,0.0,0.128,100.0,0.002,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,2.1000000000000002e-05,0.082,0.00266,8e-05,0.0,0.00039000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.054,0.0,0.12,140.0,7e-06,0.0,7.8e-05,0.0174,0.0,0.0,0.0,0.00266,0.0,78.81,0.0004
"Avocados, all commercial varieties, raw",0.109,0.0,0.088,1.58,0.236,0.076,0.0007,0.0,0.0,0.012,0.0,0.005,8.53,2.4e-05,6.2e-05,0.0,0.014199999999999999,0.111,0.015,0.0,0.0,0.0,0.0,0.00019,2.8e-05,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.025,14.66,0.0,0.0,0.0,6.7,7e-06,8.099999999999999e-05,0.0,0.12,0.1,0.37,0.287,0.104,0.0,0.01,2.075,0.698,0.0,0.049,0.0,0.0,0.00055,0.084,0.0,0.143,0.000271,0.0,0.132,0.029,0.0,0.00014199999999999998,0.0,0.038,9.799,0.001738,0.0,1.674,0.049,0.0,0.125,9.066,0.001,0.001389,0.0,0.0,0.097,0.052000000000000005,0.0,1.816,0.485,0.098,2.0,0.00013000000000000002,2.126,4e-07,0.114,100.0,0.007,0.11,0.002,0.06,0.66,0.0,0.0,0.0,0.0,0.0,6.7e-05,0.073,0.00207,5e-05,2e-05,0.00033,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.049,0.0,0.107,146.0,7e-06,0.0,0.000257,0.01,0.0,0.0,0.0,0.00207,2.1e-05,73.23,0.00064
Bacon and beef sticks,1.48,0.0,1.516,4.3,2.073,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.8,0.0,0.0,0.10200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.262,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,3.383,1.641,0.0,0.0,7.6,1.69,0.0,0.699,0.0,0.0,0.00186,0.971,0.0,1.732,0.0,0.0,1.824,0.017,0.0,3.8e-05,0.0,0.593,21.9,0.004867,0.0,2.87,4.0,0.0,0.33,15.4,0.0,0.0010600000000000002,0.0,0.0,0.868,0.14200000000000002,0.0,4.3,0.385,1.188,29.1,0.000285,16.0,2.61e-05,0.942,100.0,1.42,0.0,0.0,0.0,0.8,0.0,0.0,0.51,0.0,0.0,0.0006,0.959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.71,0.0,1.083,0.0,0.0,1.8999999999999998e-06,0.0005,0.0,0.0,0.0,0.0,0.0,1.6e-06,21.6,0.0032300000000000002
"Bacon bits, meatless",0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,28.6,0.0,0.0,0.0,0.1348,0.0,0.0,0.0,0.0,0.0,0.0,0.0005390000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,10.2,0.0,0.000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.672,0.0,0.0,0.0,0.0,0.0,0.0007199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,6.225,0.0016,0.0,12.07,1.026,0.0,1.479,6.225,0.0,0.0,0.0,0.0,0.0,0.217,0.0,13.548,0.145,0.0,32.0,7.000000000000001e-05,4.055,7.4e-06,0.0,100.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0006,0.0,0.006900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2e-06,8e-05,0.0019,0.0,0.0,0.0,0.006900000000000001,0.0,8.0,0.0018700000000000001
"Bacon, meatless",0.492,0.0,0.875,4.5,1.33,0.0,0.0,0.0,0.0,0.023,0.0,0.0,5.31,0.0,5.3e-05,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.000105,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.52,0.0,0.0,0.0,2.6,0.0,4.2e-05,0.0,0.0,0.0,0.0,2.429,0.473,0.0,0.0,3.045,0.0,0.0,0.299,0.0,0.0,0.0024100000000000002,0.559,0.0,0.914,0.0,0.0,0.727,0.019,0.0,0.000205,0.0,0.146,7.095,0.00756,0.0,13.756,1.169,0.0,1.686,7.095,0.0,0.00011300000000000001,0.0,0.0,0.611,0.07,0.0,15.441,0.17,0.643,11.69,0.000481,4.622,7.4e-06,0.626,100.0,1.465,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.0044,0.453,0.006900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.4,0.0,0.593,88.0,4e-06,0.0,0.000479,0.0,0.0,0.0,0.0,0.006900000000000001,0.0,48.98,0.00042
"Baking chocolate, liquid, unsweetened",0.561,0.0,0.689,3.1,1.211,0.0,0.0,0.0,0.047,0.054,0.0,0.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191,0.0,0.148,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,18.1,0.0,1.8999999999999998e-05,0.0,0.0,0.0,0.0,1.828,0.545,0.0,0.0,6.06,0.05,0.13,0.21,0.0,0.0,0.00415,0.471,0.0,0.737,0.0,0.0,0.609,0.265,0.0,0.00165,0.0,0.125,9.23,0.0021000000000000003,0.0,10.1,3.16,0.0,0.6,9.18,1.59,0.000154,0.0,0.0,0.584,0.34,0.0,10.7,1.166,0.52,12.1,0.000279,25.29,7.9e-06,0.525,100.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,1.597,5e-05,0.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.456,0.0,0.73,12.0,1e-06,0.0,7.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.00368
"Baking chocolate, squares, mexican",0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.014,0.034,0.0,0.0,77.41,0.0,0.0,0.0,0.0456,0.0,0.0,0.0,0.0,0.0,0.0,0.00067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,15.59,0.0,0.0,0.0,4.0,0.0,4.9999999999999996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.628,0.037,0.0,0.0,0.0,0.0,0.00218,0.0,0.0,0.0,7e-06,0.0,0.0,0.095,0.0,0.000449,0.0,0.0,5.044,0.001829,0.0,0.942,4.705,0.0,0.072,5.007,0.0,0.00017999999999999998,0.0,0.0,0.0,0.14200000000000002,0.0,1.162,0.397,0.0,3.64,0.000105,8.606,1.8e-06,0.0,100.0,0.003,0.0,0.0,0.0,69.4,0.0,0.0,0.01,0.0,0.231,5.7e-05,0.0,0.00035999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4000000000000007e-05,0.0001,0.0,0.0,0.0,0.00035999999999999997,2.2e-06,1.59,0.00126
"Baking chocolate, squares, unsweetened",0.475,0.0,0.815,3.6,1.27,0.085,0.0026000000000000003,0.0,0.08,0.101,0.0,0.013000000000000001,28.42,0.0,0.0,0.002,0.045700000000000005,0.117,0.0,0.0,0.0,0.0,15.969,0.003233,0.0,0.225,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553,0.0,0.0,0.0,52.31,0.0,0.0,0.0,16.6,0.0,2.8e-05,0.0,0.0,0.0,0.0,1.87,0.505,0.1,0.0,13.309,0.1,0.0,0.215,0.0,0.0,0.0174,0.41,0.0,0.695,3.7999999999999995e-05,0.0,0.47,0.327,0.0,0.004167,0.0,0.14,16.068,0.001355,0.0,1.435,18.232,0.0,0.117,15.969,0.0,0.00016800000000000002,0.0,0.0,0.525,0.4,0.0,1.551,0.8300000000000001,0.88,14.32,0.0001,32.277,8.099999999999999e-06,0.53,100.0,0.024,0.0,0.038,0.91,0.91,0.0,0.0,0.033,0.0,1.297,0.000147,0.37,0.0004,0.0,0.0,0.00583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.425,0.0,0.655,0.0,0.0,0.0,2.7e-05,0.0,0.0,0.0,0.0,0.0004,9.699999999999999e-06,1.34,0.009630000000000001
"Bananas, or banana powder, dehydrated",0.222,0.0,0.176,3.02,0.503,0.0,0.0,0.0,0.0,0.022,0.0,0.0,88.28,9.6e-05,0.000101,0.0,0.019600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.000391,0.0,0.063,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,0.0,0.0,0.0,9.9,0.0,1.4e-05,0.0,0.0,0.0,0.0,0.399,0.19,0.0,0.0,0.473,0.045,0.0,0.333,0.0,0.0,0.00115,0.167,0.0,0.359,8.4e-05,0.0,0.162,0.108,0.0,0.000574,0.0,0.074,0.153,0.0028,0.0,0.211,0.023,0.0,0.126,0.102,0.001,0.0,0.0,0.0,0.201,0.074,0.0,0.337,1.491,0.229,3.89,0.00024,0.698,3.9e-06,0.226,100.0,0.003,0.0,0.0,0.0,47.3,0.0,0.0,0.013,0.0,0.0,0.00017999999999999998,0.171,0.00039000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.282,248.0,1.2e-05,0.0,0.00044,0.007,0.0,0.0,0.0,0.00039000000000000005,2e-06,3.0,0.00061
"Bananas, raw",0.04,0.0,0.049,0.82,0.124,0.0,0.0001,0.0,0.0,0.005,0.0,0.0,22.84,2.4999999999999998e-05,2.6e-05,0.0,0.009800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.8e-05,0.0,0.009,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.6,2.2e-06,1.9999999999999998e-05,0.0,4.85,0.0,4.98,0.152,0.038,0.0,0.0,0.102,0.01,0.0,0.077,0.0,0.0,0.00026000000000000003,0.028,0.0,0.068,2.2e-05,0.0,0.05,0.027,0.01,0.00027,0.0,0.008,0.032,0.000665,0.0,0.046,0.005,0.0,0.027,0.022,0.0,0.00033400000000000004,0.0,0.0,0.049,0.022,0.016,0.073,0.358,0.028,1.09,7.3e-05,0.112,1e-06,0.04,100.0,0.001,5.38,0.0,2.39,12.23,0.0,0.0,0.002,0.0,0.0,3.1e-05,0.028,0.0001,0.0,1e-05,2e-05,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.009,0.0,0.047,64.0,3e-06,0.0,0.000367,0.0087,0.0,0.0,0.0,0.0001,5e-07,74.91,0.00015
"Basil, fresh",0.132,0.0,0.117,1.49,0.301,0.0,0.0004,0.0,0.0,0.177,0.0,0.0,2.65,0.0,0.003142,0.0,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.00038500000000000003,4.6e-05,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,1.6,0.0,6.8e-05,0.0,0.02,0.27,0.02,0.277,0.122,0.0,0.0,0.036,0.0,0.0,0.051,0.0,0.0,0.00317,0.104,0.0,0.191,0.00565,0.0,0.11,0.064,0.0,0.001148,0.0,0.036,0.088,0.000902,0.0,0.073,0.005,0.0,0.316,0.088,0.0,0.00020899999999999998,0.0,0.0,0.13,0.056,0.0,0.389,0.295,0.104,3.15,7.6e-05,0.041,3e-07,0.099,100.0,0.004,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.4000000000000007e-05,0.104,0.0008,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.077,0.0,0.127,5275.0,0.00026399999999999997,0.0,0.000155,0.018000000000000002,0.0,0.0,0.0,0.0008,0.0004148,92.06,0.0008100000000000001
"Beans, liquid from stewed kidney beans",0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.0,2.8,0.0,0.0,0.004,0.0135,0.0,0.0,0.0,0.0,0.0,0.0,9.800000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.007,0.0,3.2,0.0,0.0,0.0,0.1,0.0,3.2999999999999996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729,0.095,0.0,0.0,0.0,0.0,0.00196,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,1.536,0.00039000000000000005,0.0,0.299,0.389,0.0,0.033,1.42,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.34,0.40800000000000003,0.0,1.8,8.999999999999999e-05,1.174,5e-07,0.0,100.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,3e-05,0.0,0.0,0.0,0.0,0.0,0.0,91.5,0.00049
"Beans, raw, mature seeds, red, kidney",0.945,0.0,1.395,3.37,2.725,0.0,0.0,0.0,0.0,0.083,0.0,0.0,61.29,0.0,0.0,0.0,0.0659,0.0,0.0,0.0,0.0,0.0,0.0,0.000699,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,15.2,2.2e-06,0.000394,0.0,0.0,0.0,0.0,3.436,0.88,0.0,0.0,0.136,0.0,0.0,0.627,0.0,0.0,0.006690000000000001,0.995,0.0,1.799,0.0,0.0,1.547,0.138,0.0,0.001111,0.0,0.339,0.082,0.00211,0.0,0.228,0.018,0.0,0.358,0.082,0.0,0.0007800000000000001,0.0,0.0,1.218,0.406,0.0,0.586,1.359,0.955,22.53,0.000215,0.154,3.2e-06,1.226,100.0,0.012,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.000608,0.948,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.634,0.0,1.179,0.0,0.0,0.0,0.00039700000000000005,0.0045000000000000005,0.0,0.0,0.0,0.00021,5.6e-06,11.75,0.00279
"Beans, raw, sprouted, mature seeds, kidney",0.174,0.0,0.228,0.5,0.546,0.0,0.0,0.0,0.0,0.017,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015900000000000002,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.9e-05,0.0,0.0,0.0,0.0,0.512,0.144,0.0,0.0,0.064,0.0,0.0,0.118,0.0,0.0,0.0008100000000000001,0.186,0.0,0.302,0.0,0.0,0.239,0.021,0.0,0.000182,0.0,0.044,0.039,0.00292,0.0,0.107,0.009,0.0,0.169,0.039,0.0,0.000368,0.0,0.0,0.212,0.037,0.0,0.276,0.187,0.169,4.2,0.00025,0.072,6e-07,0.224,100.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.144,0.0,0.216,2.0,0.0,0.0,8.5e-05,0.038700000000000005,0.0,0.0,0.0,0.0,0.0,90.7,0.0004
"Beef sausage, pre-cooked",0.984,0.0,0.94,3.16,0.0,0.0,0.0073,0.0,0.0,0.015,0.0,0.0,0.03,1.1e-05,1.1e-05,0.083,0.0428,0.066,0.0,0.04,0.0,0.0,0.0,6.6e-05,1.1e-05,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.13,37.57,2.42,0.0,0.0,0.0,0.0,4.9999999999999996e-06,0.0,0.0,0.0,0.0,2.229,1.161,0.486,0.0,8.565,1.271,0.0,0.466,0.323,0.0,0.0015300000000000001,0.609,0.0,1.089,0.0,1.4999999999999999e-05,1.141,0.013000000000000001,0.0,4.2000000000000004e-05,0.0,0.26,16.387,0.00321,0.0,0.773,4.631,0.0,0.066,14.67,0.0,0.00040100000000000004,0.194,0.0,0.551,0.185,0.0,1.025,0.234,0.796,15.5,0.00011700000000000001,15.098,0.0,0.59,100.0,0.8220000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.222,0.316,0.0,2.8e-05,0.585,0.00049,0.0,0.0,0.0001,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.425,0.0,0.725,114.0,2.4999999999999998e-05,2.0299999999999996e-06,0.000192,0.0007,25.0,0.0,6e-07,0.00049,2.1e-06,43.75,0.00292
"Beef, dried, cured",1.748,0.0,1.859,0.0,2.618,0.0,0.0,0.0,0.0,0.008,0.0,0.0,2.76,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4e-05,0.0,0.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.94,0.0,0.0,0.0,0.0,8.4e-06,9.999999999999999e-06,0.0,0.0,0.0,0.0,4.316,1.75,0.0,0.0,0.588,0.078,0.0,0.917,0.302,0.0,0.00242,1.308,0.0,2.287,0.0,0.0,2.429,0.019,0.0,1.7000000000000003e-05,0.0,0.749,0.84,0.005164,0.0,0.055,0.292,0.0,0.005,0.762,0.0,0.000566,0.0,0.0,1.135,0.181,0.0,0.07,0.23500000000000001,1.37,31.1,0.000163,0.95,3.2399999999999995e-05,1.132,100.0,2.79,0.0,0.0,0.0,2.7,0.0,0.0,0.07,0.0,0.0,6.500000000000001e-05,1.148,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.916,0.0,1.426,0.0,0.0,1.59e-06,0.000386,0.0,1.0,0.0,0.0,0.00038,1.3e-06,0.0,0.0049299999999999995
"Beef, pastrami, cured",1.303,0.0,1.39,0.0,1.955,0.0,0.0107,0.0,0.0,0.01,0.0,0.0,0.36,0.0,2.2e-05,0.068,0.08159999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.1e-05,6e-06,0.277,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.018,0.004,5.82,0.0,0.0,0.0,0.0,2.03e-05,6e-06,0.0,0.01,0.0,0.0,3.221,1.306,0.0,0.0,1.654,0.209,0.0,0.684,0.225,0.0,0.00222,0.976,0.0,1.706,1.1e-05,0.0,1.812,0.017,0.0,2.7e-05,0.0,0.558,2.118,0.00426,0.0,0.116,0.792,0.0,0.011,1.905,0.0,0.00026500000000000004,0.0,0.0,0.847,0.17500000000000002,0.0,0.145,0.21,1.022,21.8,0.000161,2.681,1.77e-05,0.845,100.0,1.078,0.0,0.0,0.0,0.1,0.0,0.0,0.223,0.0,0.0,5.2e-05,0.857,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.683,0.0,1.065,42.0,2e-06,1.87e-06,0.000221,0.0003,4.0,0.0,0.0,0.00012,7e-07,0.0,0.004980000000000001
"Beerwurst, pork, beer salami",0.77,0.0,0.809,3.44,1.198,0.0,0.0,0.0,0.0,0.008,0.0,0.0,2.06,0.0,0.0,0.059000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.107,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,4.12e-05,3e-06,0.0,0.0,0.0,0.0,2.141,0.781,0.0,0.0,3.89,0.77,0.0,0.419,0.0,0.0,0.00076,0.485,0.0,0.943,0.0,0.0,1.032,0.013000000000000001,0.0,3.2e-05,0.0,0.355,8.98,0.003254,0.0,1.94,1.94,0.0,0.42,8.21,0.0,0.00049,0.0,0.0,0.451,0.10300000000000001,0.0,2.36,0.253,0.64,14.24,0.000192,6.28,2.0899999999999996e-05,0.569,100.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.000554,0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,0.403,0.0,0.51,0.0,0.0,8.699999999999999e-07,0.00035,0.0,36.0,0.0,0.0,0.0,0.0,61.46,0.00172
