,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Avocados, California, raw",,,0.106 g,,0.087 g,1.66 g,0.232 g,76.00 mg,0.7 mg,,,13.00 mg,167,5.00 mg,8.64 g,24.00 mcg,63.00 mcg,0.00 mg,14.2 mg,0.111 g,0.015 g,0.000 g,,,,0.170 mg,27.00 mcg,0.027 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.016 g,,,0.000 g,0.000 g,0.000 g,0.025 g,15.41 g,0.000 g,,,6.8 g,,89.00 mcg,0.00 mcg,0.08 g,0.08 g,0.08 g,0.282 g,0.102 g,0.000 g,0.010 g,2.075 g,0.698 g,,0.048 g,,,0.61 mg,0.083 g,0.00 g,0.141 g,271.00 mcg,0.00 mcg,0.129 g,29.00 mg,0.00 g,0.149 mg,,0.037 g,9.799 g,1.912 mg,,1.674 g,0.049 g,0.000 g,0.125 g,9.066 g,0.001 g,1.463 mg,0.000 g,0.000 g,0.095 g,54.00 mg,,1.816 g,507.00 mg,0.096 g,1.96 g,0.143 mg,2.126 g,0.4 mcg,0.112 g,100 g,8.00 mg,0.11 g,2.00 mg,0.06 g,0.30 g,0.000 g,,0.000 g,0.000 g,,0.075 mg,0.072 g,1.97 mg,0.04 mg,0.02 mg,0.32 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.025 g,0.048 g,,0.105 g,147.00 IU,7.00 mcg,0.00 mcg,0.287 mg,8.8 mg,0.00 IU,,,1.97 mg,21.0 mcg,72.33 g,0.68 mg
"Avocados, Florida, raw",,,0.121 g,,0.099 g,1.08 g,0.264 g,,,,,10.00 mg,120,,7.82 g,27.00 mcg,53.00 mcg,0.00 mg,,,,,,,,0.311 mg,36.00 mcg,0.031 g,,,,,,,,,,,,,,,,,,10.06 g,0.000 g,,,5.6 g,,35.00 mcg,0.00 mcg,0.25 g,,2.17 g,0.321 g,0.116 g,,,1.905 g,0.825 g,,0.055 g,,,0.17 mg,0.094 g,0.00 g,0.160 g,,,0.147 g,24.00 mg,0.00 g,0.095 mg,,0.042 g,5.513 g,0.672 mg,,1.580 g,0.055 g,,0.096 g,4.689 g,,0.931 mg,,,0.108 g,40.00 mg,,1.676 g,351.00 mg,0.110 g,2.23 g,0.053 mg,1.960 g,,0.128 g,100 g,2.00 mg,,,0.00 g,2.42 g,,,,,,0.021 mg,0.082 g,2.66 mg,0.08 mg,0.00 mg,0.39 mg,0.00 mg,0.00 mg,,0.00 mg,,,,,,,0.028 g,0.054 g,,0.120 g,140.00 IU,7.00 mcg,0.00 mcg,0.078 mg,17.4 mg,0.00 IU,,,2.66 mg,,78.81 g,0.40 mg
"Avocados, all commercial varieties, raw",,,0.109 g,0.0 g,0.088 g,1.58 g,0.236 g,76.00 mg,0.7 mg,0.000 g,0.00 mg,12.00 mg,160,5.00 mg,8.53 g,24.00 mcg,62.00 mcg,0.00 mg,14.2 mg,0.111 g,0.015 g,0.000 g,,,,0.190 mg,28.00 mcg,0.027 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.016 g,,,0.000 g,0.000 g,0.000 g,0.025 g,14.66 g,0.000 g,,,6.7 g,7.0 mcg,81.00 mcg,0.00 mcg,0.12 g,0.10 g,0.37 g,0.287 g,0.104 g,0.000 g,0.010 g,2.075 g,0.698 g,0.000 g,0.049 g,,,0.55 mg,0.084 g,0.00 g,0.143 g,271.00 mcg,0.00 mcg,0.132 g,29.00 mg,0.00 g,0.142 mg,,0.038 g,9.799 g,1.738 mg,,1.674 g,0.049 g,0.000 g,0.125 g,9.066 g,0.001 g,1.389 mg,0.000 g,0.000 g,0.097 g,52.00 mg,,1.816 g,485.00 mg,0.098 g,2.00 g,0.130 mg,2.126 g,0.4 mcg,0.114 g,100 g,7.00 mg,0.11 g,2.00 mg,0.06 g,0.66 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.067 mg,0.073 g,2.07 mg,0.05 mg,0.02 mg,0.33 mg,0.01 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.025 g,0.049 g,,0.107 g,146.00 IU,7.00 mcg,0.00 mcg,0.257 mg,10.0 mg,0.00 IU,,,2.07 mg,21.0 mcg,73.23 g,0.64 mg
Bacon and beef sticks,,,1.480 g,0.0 g,1.516 g,4.30 g,2.073 g,,,0.000 g,0.00 mg,14.00 mg,517,,0.80 g,0.00 mcg,0.00 mcg,102.00 mg,,,,,,,,0.080 mg,0.00 mcg,0.262 g,0.060 g,,0.000 g,,0.000 g,,0.000 g,,,0.040 g,,,,,0.000 g,0.000 g,0.000 g,44.20 g,,,,0.0 g,,2.00 mcg,0.00 mcg,,,,3.383 g,1.641 g,,,7.600 g,1.690 g,0.000 g,0.699 g,,,1.86 mg,0.971 g,,1.732 g,0.00 mcg,0.00 mcg,1.824 g,17.00 mg,,0.038 mg,,0.593 g,21.900 g,4.867 mg,,2.870 g,4.000 g,0.000 g,0.330 g,15.400 g,0.000 g,1.060 mg,,,0.868 g,142.00 mg,,4.300 g,385.00 mg,1.188 g,29.10 g,0.285 mg,16.000 g,26.1 mcg,0.942 g,100 g,1420.00 mg,,,,0.80 g,,,0.510 g,,0.00 mg,0.600 mg,0.959 g,,,,,,,,,,,,,,,0.210 g,0.710 g,,1.083 g,0.00 IU,0.00 mcg,1.90 mcg,0.500 mg,0.0 mg,,,,,1.6 mcg,21.60 g,3.23 mg
"Bacon bits, meatless",,,,0.0 g,,5.50 g,,,,0.000 g,0.00 mg,101.00 mg,476,,28.60 g,0.00 mcg,0.00 mcg,0.00 mg,134.8 mg,,,,,,,0.539 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.215 g,,,,,0.000 g,0.000 g,0.000 g,25.90 g,,,,10.2 g,,127.00 mcg,0.00 mcg,,,,,,,,2.672 g,0.000 g,0.000 g,,,,0.72 mg,,,,0.00 mcg,0.00 mcg,,95.00 mg,,,,,6.225 g,1.600 mg,,12.070 g,1.026 g,0.000 g,1.479 g,6.225 g,0.000 g,,,,,217.00 mg,,13.548 g,145.00 mg,,32.00 g,0.070 mg,4.055 g,7.4 mcg,,100 g,1770.00 mg,,,,0.00 g,,,0.143 g,,0.00 mg,0.600 mg,,6.90 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,1.20 mcg,0.080 mg,1.9 mg,0.00 IU,,,6.90 mg,0.0 mcg,8.00 g,1.87 mg
"Bacon, meatless",,,0.492 g,0.0 g,0.875 g,4.50 g,1.330 g,,,0.000 g,0.00 mg,23.00 mg,309,,5.31 g,0.00 mcg,53.00 mcg,0.00 mg,45.0 mg,,,,,,,0.105 mg,0.00 mcg,0.176 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.245 g,,,,,0.000 g,0.000 g,0.000 g,29.52 g,,,,2.6 g,,42.00 mcg,0.00 mcg,,,,2.429 g,0.473 g,,,3.045 g,0.000 g,0.000 g,0.299 g,,,2.41 mg,0.559 g,,0.914 g,0.00 mcg,0.00 mcg,0.727 g,19.00 mg,,0.205 mg,,0.146 g,7.095 g,7.560 mg,,13.756 g,1.169 g,0.000 g,1.686 g,7.095 g,0.000 g,0.113 mg,,,0.611 g,70.00 mg,,15.441 g,170.00 mg,0.643 g,11.69 g,0.481 mg,4.622 g,7.4 mcg,0.626 g,100 g,1465.00 mg,,,,0.00 g,,,0.163 g,,0.00 mg,4.400 mg,0.453 g,6.90 mg,,,,,,,,,,,,,,0.161 g,0.400 g,,0.593 g,88.00 IU,4.00 mcg,0.00 mcg,0.479 mg,0.0 mg,0.00 IU,,,6.90 mg,0.0 mcg,48.98 g,0.42 mg
"Baking chocolate, liquid, unsweetened",,,0.561 g,,0.689 g,3.10 g,1.211 g,,,,47.00 mg,54.00 mg,472,,36.20 g,,,0.00 mg,,,,,,,,1.910 mg,,0.148 g,1.270 g,,,,,,,,,9.450 g,,,,,,,,47.70 g,,,,18.1 g,,19.00 mcg,0.00 mcg,,,,1.828 g,0.545 g,,,6.060 g,0.050 g,0.130 g,0.210 g,,,4.15 mg,0.471 g,,0.737 g,,,0.609 g,265.00 mg,,1.650 mg,,0.125 g,9.230 g,2.100 mg,,10.100 g,3.160 g,,0.600 g,9.180 g,1.590 g,0.154 mg,,,0.584 g,340.00 mg,,10.700 g,1166.00 mg,0.520 g,12.10 g,0.279 mg,25.290 g,7.9 mcg,0.525 g,100 g,12.00 mg,,,,0.00 g,,,3.630 g,,1597.00 mg,0.050 mg,0.481 g,,,,,,,,,,,,,,,0.182 g,0.456 g,,0.730 g,12.00 IU,1.00 mcg,0.00 mcg,0.072 mg,0.0 mg,,,,,,0.90 g,3.68 mg
"Baking chocolate, squares, mexican",,,,0.0 g,,1.34 g,,,,0.000 g,14.00 mg,34.00 mg,426,,77.41 g,0.00 mcg,0.00 mcg,0.00 mg,45.6 mg,,,,,,,0.670 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.148 g,0.000 g,15.59 g,,,,4.0 g,,5.00 mcg,0.00 mcg,,,,,,,,3.628 g,0.037 g,0.000 g,,,,2.18 mg,,,,7.00 mcg,0.00 mcg,,95.00 mg,,0.449 mg,,,5.044 g,1.829 mg,,0.942 g,4.705 g,0.000 g,0.072 g,5.007 g,0.000 g,0.180 mg,,,,142.00 mg,,1.162 g,397.00 mg,,3.64 g,0.105 mg,8.606 g,1.8 mcg,,100 g,3.00 mg,,,,69.40 g,,,0.010 g,,231.00 mg,0.057 mg,,0.36 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.034 mg,0.1 mg,0.00 IU,,,0.36 mg,2.2 mcg,1.59 g,1.26 mg
"Baking chocolate, squares, unsweetened",,12.90 g,0.475 g,0.0 g,0.815 g,3.60 g,1.270 g,85.00 mg,2.6 mg,0.000 g,80.00 mg,101.00 mg,642,13.00 mg,28.42 g,0.00 mcg,0.00 mcg,2.00 mg,45.7 mg,0.117 g,0.000 g,0.000 g,,,15.969 g,3.233 mg,0.00 mcg,0.225 g,0.000 g,0.0 mcg,0.000 g,0.050 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.553 g,0.000 g,0.000 g,0.000 g,52.31 g,0.000 g,0.000 g,,16.6 g,,28.00 mcg,0.00 mcg,0.00 g,0.00 g,0.00 g,1.870 g,0.505 g,0.100 g,0.000 g,13.309 g,0.100 g,0.000 g,0.215 g,0.000 g,,17.40 mg,0.410 g,0.00 g,0.695 g,38.00 mcg,0.00 mcg,0.470 g,327.00 mg,0.00 g,4.167 mg,,0.140 g,16.068 g,1.355 mg,,1.435 g,18.232 g,0.000 g,0.117 g,15.969 g,0.000 g,0.168 mg,0.000 g,0.000 g,0.525 g,400.00 mg,,1.551 g,830.00 mg,0.880 g,14.32 g,0.100 mg,32.277 g,8.1 mcg,0.530 g,100 g,24.00 mg,,38.00 mg,0.91 g,0.91 g,0.000 g,0.000 g,0.033 g,0.000 g,1297.00 mg,0.147 mg,0.370 g,0.40 mg,0.00 mg,0.00 mg,5.83 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,0.000 g,0.000 g,0.130 g,0.425 g,,0.655 g,0.00 IU,0.00 mcg,0.00 mcg,0.027 mg,0.0 mg,0.00 IU,,,0.40 mg,9.7 mcg,1.34 g,9.63 mg
"Bananas, or banana powder, dehydrated",,,0.222 g,0.0 g,0.176 g,3.02 g,0.503 g,,,0.000 g,0.00 mg,22.00 mg,346,,88.28 g,96.00 mcg,101.00 mcg,0.00 mg,19.6 mg,,,,,,,0.391 mg,0.00 mcg,0.063 g,0.005 g,,0.000 g,,0.000 g,,0.000 g,,,0.006 g,,,,,0.000 g,0.000 g,0.000 g,1.81 g,,,,9.9 g,,14.00 mcg,0.00 mcg,,,,0.399 g,0.190 g,,,0.473 g,0.045 g,0.000 g,0.333 g,,,1.15 mg,0.167 g,,0.359 g,84.00 mcg,0.00 mcg,0.162 g,108.00 mg,,0.574 mg,,0.074 g,0.153 g,2.800 mg,,0.211 g,0.023 g,0.000 g,0.126 g,0.102 g,0.001 g,,,,0.201 g,74.00 mg,,0.337 g,1491.00 mg,0.229 g,3.89 g,0.240 mg,0.698 g,3.9 mcg,0.226 g,100 g,3.00 mg,,,,47.30 g,,,0.013 g,,0.00 mg,0.180 mg,0.171 g,0.39 mg,,,,,,,,,,,,,,,0.121 g,,0.282 g,248.00 IU,12.00 mcg,0.00 mcg,0.440 mg,7.0 mg,0.00 IU,,,0.39 mg,2.0 mcg,3.00 g,0.61 mg
"Bananas, raw",,,0.040 g,0.0 g,0.049 g,0.82 g,0.124 g,,0.1 mg,0.000 g,0.00 mg,5.00 mg,89,,22.84 g,25.00 mcg,26.00 mcg,0.00 mg,9.8 mg,,,,,,,0.078 mg,0.00 mcg,0.009 g,0.001 g,0.0 mcg,0.000 g,,0.000 g,,0.000 g,,,0.002 g,,,,,0.000 g,0.000 g,0.000 g,0.33 g,0.000 g,,,2.6 g,2.2 mcg,20.00 mcg,0.00 mcg,4.85 g,0.00 g,4.98 g,0.152 g,0.038 g,,,0.102 g,0.010 g,0.000 g,0.077 g,,,0.26 mg,0.028 g,0.00 g,0.068 g,22.00 mcg,0.00 mcg,0.050 g,27.00 mg,0.01 g,0.270 mg,,0.008 g,0.032 g,0.665 mg,,0.046 g,0.005 g,0.000 g,0.027 g,0.022 g,0.000 g,0.334 mg,,,0.049 g,22.00 mg,16.00 mg,0.073 g,358.00 mg,0.028 g,1.09 g,0.073 mg,0.112 g,1.0 mcg,0.040 g,100 g,1.00 mg,5.38 g,,2.39 g,12.23 g,,,0.002 g,,0.00 mg,0.031 mg,0.028 g,0.10 mg,0.00 mg,0.01 mg,0.02 mg,0.06 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.009 g,0.009 g,,0.047 g,64.00 IU,3.00 mcg,0.00 mcg,0.367 mg,8.7 mg,0.00 IU,,,0.10 mg,0.5 mcg,74.91 g,0.15 mg
"Basil, fresh",,,0.132 g,0.0 g,0.117 g,1.49 g,0.301 g,,0.4 mg,0.000 g,0.00 mg,177.00 mg,23,,2.65 g,0.00 mcg,3142.00 mcg,0.00 mg,11.4 mg,,,,,,,0.385 mg,46.00 mcg,0.028 g,0.000 g,0.0 mcg,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.64 g,0.000 g,,,1.6 g,,68.00 mcg,0.00 mcg,0.02 g,0.27 g,0.02 g,0.277 g,0.122 g,,,0.036 g,0.000 g,0.000 g,0.051 g,,,3.17 mg,0.104 g,0.00 g,0.191 g,5650.00 mcg,0.00 mcg,0.110 g,64.00 mg,0.00 g,1.148 mg,,0.036 g,0.088 g,0.902 mg,,0.073 g,0.005 g,0.000 g,0.316 g,0.088 g,0.000 g,0.209 mg,,,0.130 g,56.00 mg,,0.389 g,295.00 mg,0.104 g,3.15 g,0.076 mg,0.041 g,0.3 mcg,0.099 g,100 g,4.00 mg,,,0.00 g,0.30 g,,,0.000 g,,0.00 mg,0.034 mg,0.104 g,0.80 mg,0.00 mg,0.00 mg,0.16 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.039 g,0.077 g,,0.127 g,5275.00 IU,264.00 mcg,0.00 mcg,0.155 mg,18.0 mg,0.00 IU,,,0.80 mg,414.8 mcg,92.06 g,0.81 mg
"Beans, liquid from stewed kidney beans",,,,0.0 g,,0.70 g,,,,0.000 g,0.00 mg,13.00 mg,47,,2.80 g,0.00 mcg,0.00 mcg,4.00 mg,13.5 mg,,,,,,,0.098 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.006 g,,,,,0.000 g,0.007 g,0.000 g,3.20 g,0.000 g,,,0.1 g,,33.00 mcg,0.00 mcg,,,,,,,,0.729 g,0.095 g,0.000 g,,,,1.96 mg,,,,0.00 mcg,0.00 mcg,,37.00 mg,,,,,1.536 g,0.390 mg,,0.299 g,0.389 g,0.000 g,0.033 g,1.420 g,0.000 g,,,,,88.00 mg,,0.340 g,408.00 mg,,1.80 g,0.090 mg,1.174 g,0.5 mcg,,100 g,2.00 mg,,,,0.00 g,,,0.043 g,,0.00 mg,0.100 mg,,0.00 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.02 mcg,0.030 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,91.50 g,0.49 mg
"Beans, raw, mature seeds, red, kidney",,,0.945 g,0.0 g,1.395 g,3.37 g,2.725 g,,,0.000 g,0.00 mg,83.00 mg,337,,61.29 g,0.00 mcg,0.00 mcg,0.00 mg,65.9 mg,,,,,,,0.699 mg,0.00 mcg,0.245 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,1.06 g,0.000 g,,,15.2 g,2.2 mcg,394.00 mcg,0.00 mcg,,,,3.436 g,0.880 g,,,0.136 g,0.000 g,0.000 g,0.627 g,,,6.69 mg,0.995 g,,1.799 g,0.00 mcg,0.00 mcg,1.547 g,138.00 mg,,1.111 mg,,0.339 g,0.082 g,2.110 mg,,0.228 g,0.018 g,0.000 g,0.358 g,0.082 g,0.000 g,0.780 mg,,,1.218 g,406.00 mg,,0.586 g,1359.00 mg,0.955 g,22.53 g,0.215 mg,0.154 g,3.2 mcg,1.226 g,100 g,12.00 mg,,,,2.10 g,,,0.000 g,,0.00 mg,0.608 mg,0.948 g,0.21 mg,,,,,,,,,,,,,,0.267 g,0.634 g,,1.179 g,0.00 IU,0.00 mcg,0.00 mcg,0.397 mg,4.5 mg,0.00 IU,,,0.21 mg,5.6 mcg,11.75 g,2.79 mg
"Beans, raw, sprouted, mature seeds, kidney",,,0.174 g,,0.228 g,0.50 g,0.546 g,,,,,17.00 mg,29,,4.10 g,,,0.00 mg,,,,,,,,0.159 mg,,0.048 g,,,,,,,,,,,,,,,,,,0.50 g,0.000 g,,,,,59.00 mcg,0.00 mcg,,,,0.512 g,0.144 g,,,0.064 g,,,0.118 g,,,0.81 mg,0.186 g,,0.302 g,,,0.239 g,21.00 mg,,0.182 mg,,0.044 g,0.039 g,2.920 mg,,0.107 g,0.009 g,,0.169 g,0.039 g,,0.368 mg,,,0.212 g,37.00 mg,,0.276 g,187.00 mg,0.169 g,4.20 g,0.250 mg,0.072 g,0.6 mcg,0.224 g,100 g,6.00 mg,,,,,,,,,,0.370 mg,0.176 g,,,,,,,,,,,,,,,0.044 g,0.144 g,,0.216 g,2.00 IU,0.00 mcg,0.00 mcg,0.085 mg,38.7 mg,0.00 IU,,,,,90.70 g,0.40 mg
"Beef sausage, pre-cooked",,,0.984 g,0.0 g,0.940 g,3.16 g,0.000 g,,7.3 mg,0.000 g,0.00 mg,15.00 mg,405,,0.03 g,11.00 mcg,11.00 mcg,83.00 mg,42.8 mg,0.066 g,0.000 g,0.040 g,,,,0.066 mg,11.00 mcg,0.146 g,0.000 g,,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.040 g,,,0.000 g,0.000 g,0.040 g,0.130 g,37.57 g,2.420 g,,,0.0 g,,5.00 mcg,0.00 mcg,,,,2.229 g,1.161 g,0.486 g,,8.565 g,1.271 g,0.000 g,0.466 g,0.323 g,,1.53 mg,0.609 g,,1.089 g,0.00 mcg,15.00 mcg,1.141 g,13.00 mg,,0.042 mg,,0.260 g,16.387 g,3.210 mg,,0.773 g,4.631 g,0.000 g,0.066 g,14.670 g,0.000 g,0.401 mg,0.194 g,0.000 g,0.551 g,185.00 mg,,1.025 g,234.00 mg,0.796 g,15.50 g,0.117 mg,15.098 g,0.0 mcg,0.590 g,100 g,822.00 mg,,,,0.00 g,,,1.222 g,0.316 g,0.00 mg,0.028 mg,0.585 g,0.49 mg,0.00 mg,0.00 mg,0.10 mg,0.07 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.097 g,0.425 g,,0.725 g,114.00 IU,25.00 mcg,2.03 mcg,0.192 mg,0.7 mg,25.00 IU,,0.6 mcg,0.49 mg,2.1 mcg,43.75 g,2.92 mg
"Beef, dried, cured",,,1.748 g,,1.859 g,,2.618 g,,0.0 mg,0.000 g,,8.00 mg,153,,2.76 g,0.00 mcg,0.00 mcg,79.00 mg,0.0 mg,,,,,,,0.074 mg,0.00 mcg,0.371 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.010 g,0.000 g,1.94 g,,,,0.0 g,8.4 mcg,10.00 mcg,0.00 mcg,,,,4.316 g,1.750 g,,,0.588 g,0.078 g,0.000 g,0.917 g,0.302 g,,2.42 mg,1.308 g,,2.287 g,0.00 mcg,0.00 mcg,2.429 g,19.00 mg,,0.017 mg,,0.749 g,0.840 g,5.164 mg,,0.055 g,0.292 g,0.000 g,0.005 g,0.762 g,0.000 g,0.566 mg,,,1.135 g,181.00 mg,0.00 mg,0.070 g,235.00 mg,1.370 g,31.10 g,0.163 mg,0.950 g,32.4 mcg,1.132 g,100 g,2790.00 mg,,,,2.70 g,,,0.070 g,,,0.065 mg,1.148 g,0.38 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,,,,,0.189 g,0.916 g,,1.426 g,0.00 IU,0.00 mcg,1.59 mcg,0.386 mg,0.0 mg,1.00 IU,,,0.38 mg,1.3 mcg,,4.93 mg
"Beef, pastrami, cured",,,1.303 g,,1.390 g,,1.955 g,,10.7 mg,0.000 g,,10.00 mg,147,,0.36 g,0.00 mcg,22.00 mcg,68.00 mg,81.6 mg,,,,,,,0.091 mg,6.00 mcg,0.277 g,0.006 g,,0.000 g,,0.000 g,,0.000 g,,,0.006 g,,,,,0.000 g,0.018 g,0.004 g,5.82 g,,,,0.0 g,20.3 mcg,6.00 mcg,0.00 mcg,0.01 g,0.00 g,0.00 g,3.221 g,1.306 g,,,1.654 g,0.209 g,0.000 g,0.684 g,0.225 g,,2.22 mg,0.976 g,0.00 g,1.706 g,11.00 mcg,0.00 mcg,1.812 g,17.00 mg,0.00 g,0.027 mg,,0.558 g,2.118 g,4.260 mg,,0.116 g,0.792 g,0.000 g,0.011 g,1.905 g,0.000 g,0.265 mg,,,0.847 g,175.00 mg,0.00 mg,0.145 g,210.00 mg,1.022 g,21.80 g,0.161 mg,2.681 g,17.7 mcg,0.845 g,100 g,1078.00 mg,,,0.00 g,0.10 g,,,0.223 g,,,0.052 mg,0.857 g,0.12 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.141 g,0.683 g,,1.065 g,42.00 IU,2.00 mcg,1.87 mcg,0.221 mg,0.3 mg,4.00 IU,,,0.12 mg,0.7 mcg,,4.98 mg
"Beerwurst, pork, beer salami",,,0.770 g,,0.809 g,3.44 g,1.198 g,,,0.000 g,,8.00 mg,238,,2.06 g,,,59.00 mg,,,,,,,,0.050 mg,,0.107 g,0.090 g,,0.000 g,,0.000 g,,0.000 g,,,0.090 g,,,,,0.000 g,0.000 g,0.000 g,18.80 g,,,,0.0 g,41.2 mcg,3.00 mcg,0.00 mcg,,,,2.141 g,0.781 g,,,3.890 g,0.770 g,0.000 g,0.419 g,,,0.76 mg,0.485 g,,0.943 g,,,1.032 g,13.00 mg,,0.032 mg,,0.355 g,8.980 g,3.254 mg,,1.940 g,1.940 g,0.000 g,0.420 g,8.210 g,0.000 g,0.490 mg,,,0.451 g,103.00 mg,0.00 mg,2.360 g,253.00 mg,0.640 g,14.24 g,0.192 mg,6.280 g,20.9 mcg,0.569 g,100 g,1240.00 mg,,,,,,,0.270 g,,,0.554 mg,0.565 g,,,,,,,,,,,,,,,0.112 g,0.403 g,,0.510 g,0.00 IU,0.00 mcg,0.87 mcg,0.350 mg,0.0 mg,36.00 IU,,,,,61.46 g,1.72 mg
"Beverages, club soda, carbonated",,,0.000 g,0.0 g,0.000 g,0.10 g,0.000 g,,,0.000 g,0.00 mg,5.00 mg,0,,0.00 g,0.00 mcg,0.00 mcg,0.00 mg,0.0 mg,,,,,,,0.006 mg,0.00 mcg,0.000 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.00 g,0.000 g,,,0.0 g,,0.00 mcg,0.00 mcg,,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,,,0.01 mg,0.000 g,,0.000 g,0.00 mcg,0.00 mcg,0.000 g,1.00 mg,,0.001 mg,,0.000 g,0.000 g,0.000 mg,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 mg,,,0.000 g,0.00 mg,,0.000 g,2.00 mg,0.000 g,0.00 g,0.000 mg,0.000 g,0.0 mcg,,100 g,21.00 mg,,,,0.00 g,,,0.000 g,,0.00 mg,0.000 mg,0.000 g,0.00 mg,,,,,,,,,,,,,,0.000 g,0.000 g,,0.000 g,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,99.90 g,0.10 mg
